claim_id,third_party_id,third_party_name,third_party_role,involvement_date,first_line_of_address,county,state,zip_code,latitude,longitude,prior_claim_count,prior_litigated_claim_count
CLM00001,TP00081,HomeScope Inspections,Inspector,2022-02-21,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00001,TP00056,Atlantic Home Reconstruction,General Contractor,2022-02-28,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,12,0
CLM00001,TP00057,SunCoast General Builders,General Contractor,2022-03-06,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,70,3
CLM00001,TP00019,Everglade Loss Mitigation,Mitigation Company,2022-02-18,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,108,25
CLM00001,TP00012,Atlantic Home Claims Law,Attorney,2022-03-07,520 E Church St,Orange,FL,32801,28.542388,-81.368972,57,5
CLM00002,TP00083,Coastal Inspection Services,Inspector,2023-02-20,2650 Dade Ave,Orange,FL,32804,28.583628,-81.389606,89,12
CLM00002,TP00034,StormGuard Roof Services,Roofer,2023-03-07,6501 S Westshore Blvd,Hillsborough,FL,33616,27.869022,-82.523216,94,9
CLM00002,TP00050,Sunrise General Contracting,General Contractor,2023-02-21,55 NE 2nd St,Miami-Dade,FL,33132,25.784184,-80.187508,101,18
CLM00002,TP00017,Coastal Response Mitigation,Mitigation Company,2023-02-19,9567 Sunbelt St,Hillsborough,FL,33635,28.022792,-82.61563,136,39
CLM00002,TP00080,Atlantic Property Valuation,Appraiser,2023-03-14,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00002,TP00090,Gulf Coast Electrical,Electrician,2023-03-04,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,91,17
CLM00002,TP00087,Florida Emergency Property Care,Emergency Services Provider,2023-03-13,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,14,1
CLM00002,TP00088,Coastal Emergency Services,Emergency Services Provider,2023-03-20,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,29,2
CLM00002,TP00097,Atlantic Mold Solutions,Mold Remediation,2023-03-07,230 NE 4th St,Miami-Dade,FL,33132,25.781976,-80.192572,77,5
CLM00002,TP00086,Rapid Response Property Services,Emergency Services Provider,2023-03-14,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,69,2
CLM00002,TP00042,Coastal Pipeworks,Plumber,2023-03-03,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,53,2
CLM00002,TP00052,Peninsula Property Restoration,General Contractor,2023-03-01,310 N Orange Ave,Orange,FL,32801,28.543216,-81.372806,14,1
CLM00002,TP00079,Florida Loss Appraisers,Appraiser,2023-02-27,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,88,14
CLM00002,TP00078,Sunstate Appraisal Group,Appraiser,2023-03-21,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55,0
CLM00003,TP00084,Florida Field Inspection Group,Inspector,2025-05-31,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,86,11
CLM00003,TP00039,Sunstate Plumbing Services,Plumber,2025-06-03,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,144,36
CLM00003,TP00054,Florida Residential Builders,General Contractor,2025-06-03,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
